query-id match-id score boundaries resolved cond-evalue indp-evalue
P04050 RNA_pol_Rpb1_R 10.7 1606-1619 1606-1619 0.00024 0.58
P04050 RNA_pol_Rpb1_R 10.7 1620-1633 1620-1633 0.00024 0.59
P04050 RNA_pol_Rpb1_R 10.8 1634-1647 1634-1647 0.00023 0.54
P04050 RNA_pol_Rpb1_R 12.8 1648-1661 1648-1661 5.2e-05 0.13
P04050 RNA_pol_Rpb1_R 10.8 1662-1675 1662-1675 0.00023 0.56
P04050 RNA_pol_Rpb1_R 10.9 1676-1689 1676-1689 0.00022 0.52
P04050 RNA_pol_Rpb1_R 14.1 1690-1703 1690-1703 2.1e-05 0.05
P04050 RNA_pol_Rpb1_R 15.9 1704-1717 1704-1717 5.6e-06 0.013
Q08774 DUF2034 235.1 29-219 29-219 2.1e-74 3.9e-70
P53437 RRN9 60.8 47-112 47-112 6.4e-21 1.2e-16
P40571 Rpr2 47.8 36-112 36-112 7.5e-17 1.4e-12
P53866 G-patch 55.6 720-765 720-765 1.9e-19 3.7e-15
P47108 Urb2 181.2 964-1174 964-1174 1.4e-57 2.6e-53
P08153 zf-C2H2 20.3 550-574 550-574 3e-08 0.00057
P08153 zf-C2H2 17.6 580-604 580-604 2.2e-07 0.0042
P09733 Tubulin 226.1 3-215 3-215 4.9e-71 4.7e-67
P09733 Tubulin_C 173.1 264-394 264-394 2.7e-55 2.6e-51
Q02939 Tfb2 465.4 12-285,329-406 12-285,329-406 1.2e-143 1.1e-139
Q02939 Tfb2_C 78 439-506 439-506 6e-26 5.7e-22
P38427 Glyco_transf_20 586.2 317-799 317-799 5.2e-180 5e-176
P38427 Trehalose_PPase 197.3 819-1055 819-1055 2.1e-62 2e-58
Q05776 PRELI 175.8 16-170 16-170 2.9e-56 5.6e-52
P32571 Rhodanese 24.7 197-322 197-322 4.2e-09 2.7e-05
P32571 UCH 231.3 562-738,796-920 562-738,796-920 2.5e-72 1.6e-68
P21304 WD40 16.4 275-315 275-315 1.4e-06 0.013
Q12196 RIO1 249.9 89-301 89-301 7.4e-79 1.4e-74
Q3E757 Ribosomal_L5 72.7 7-60 7-60 2.5e-24 2.4e-20
Q3E757 Ribosomal_L5_C 79.3 64-162 64-162 2e-26 1.9e-22
P0CX43 Ribosomal_L1 143.8 16-212 16-212 3.2e-46 6.2e-42
P0CX24 Ribosomal_L18A 179.6 4-127 4-127 1.1e-57 2.2e-53
P26321 Ribosomal_L5e 277.8 14-176 14-176 3.3e-87 3.2e-83
P26321 Ribosomal_L18_c 77.9 236-295 236-295 7.3e-26 7e-22
Q07915 Ribosomal_L24e 109.7 1-66 1-66 3.4e-36 6.6e-32
P02381 VAR1 123.2 135-278 135-278 7.4e-40 1.4e-35
P43588 JAB 110 22-135 22-135 1.1e-35 6.9e-32
P43588 MitMem_reg 43.6 169-201,241-304 169-201,241-304 5.6e-15 3.6e-11
P0CX30 Ribosom_S12_S23 172.2 31-144 31-144 1.3e-55 2.5e-51
P54003 SUR7 135.9 9-206 9-206 1.6e-43 1.5e-39
P50104 Zn_clus 34.1 85-123 85-123 2.4e-12 2.3e-08
P50104 Fungal_trans 85.8 401-661 401-661 2.7e-28 2.6e-24
P09959 Swi6_N 89.5 3-107 3-107 4.7e-29 1.5e-25
P09959 Ank_3 20.5 469-498 469-498 1.5e-07 0.00047
P53378 Tubulin 220.2 4-214 4-214 3.1e-69 3e-65
P53378 Tubulin_C 108.5 263-392 263-392 2.7e-35 2.6e-31
P22217 Thioredoxin 113.7 2-101 2-101 7.7e-37 3.7e-33
P0CF17 VPS9 39 7-79 7-79 4.1e-14 7.8e-10
P40522 Vhr1 151.7 16-106 16-106 2.9e-49 5.5e-45
Q12016 UPF0220 238.2 5-178 5-178 1.8e-75 3.4e-71
P47111 Vps55 146.4 12-132 12-132 1.8e-47 3.4e-43
P39702 Vps8 189.4 538-735 538-735 2.7e-60 5.2e-56
Q06263 Vta1 126.6 4-166 4-166 8e-41 7.7e-37
Q06263 Vta1_C 52.5 291-328 291-328 2.8e-18 2.7e-14
P25607 Sortilin-Vps10 50.2 55-179 55-179 9.1e-18 1.7e-13
Q07530 adh_short 146.4 39-234 39-234 1.2e-46 7.5e-43
P40514 LCCL 40.7 161-298 161-298 1e-14 2e-10
P34251 adh_short 26.7 25-143 25-143 1.9e-10 3.6e-06
Q04711 TYA 773.4 17-400 17-400 6.3e-237 4.1e-233
Q04711 rve 46.1 661-765 661-765 7.5e-16 4.8e-12
Q04711 RVT_2 102.2 1267-1501 1267-1501 5.4e-33 3.5e-29
P38750 Form_Nir_trans 202.1 12-259 12-259 4.5e-64 8.7e-60
P38729 DUP 78.3 22-122 22-122 2.3e-26 4.3e-22
P40538 DUF4668 130.1 1-140 1-140 3.5e-42 6.8e-38
P53273 Sulfate_transp 312.7 206-606 206-606 3.2e-97 3.1e-93
P53273 STAS 60.2 657-777 657-777 1.5e-20 1.4e-16
P42942 MMR_HSR1 69.1 6-162 6-162 5.2e-23 3.3e-19
P42942 MMR_HSR1_C 116.8 226-338 226-338 1.1e-37 6.9e-34
Q12024 NLE 81 8-72 8-72 1.1e-26 7.1e-23
Q12024 WD40 12.3 95-131 95-131 4.2e-05 0.27
Q12024 WD40 23.8 134-171 134-171 9.5e-09 6.1e-05
Q12024 WD40 19.7 198-235 198-235 2e-07 0.0013
Q12024 Nup160 19.8 248-372 248-368 4.6e-08 0.00029
Q12024 WD40 31.8 365-404 369-404 2.8e-11 1.8e-07
Q06616 NBP1 127.4 68-220 68-220 4.4e-41 8.4e-37
Q06595 Zn_clus 30.7 6-43 6-43 1.4e-11 2.7e-07
P41920 Ran_BP1 190 75-197 75-197 1.6e-60 1.6e-56
P40105 DEAD 28.3 675-849 675-849 1.5e-10 1.4e-06
P40105 Helicase_C 47.2 914-1022 914-1022 2.6e-16 2.5e-12
P20095 DEAD 33.4 226-389 226-389 7.9e-12 3.8e-08
P20095 Helicase_C 55.5 419-557 419-557 1.4e-18 6.8e-15
P20095 HA2 60.6 619-748 619-748 3.1e-20 1.5e-16
P20095 OB_NTP_bind 52.7 775-862 775-862 9.2e-18 4.4e-14
P0CX40 Ribosomal_S8e 193.5 5-108,156-184 5-108,156-184 8.2e-62 1.6e-57
P39709 MFS_1 86.6 141-519 141-519 8.5e-29 1.6e-24
P14359 Pmp3 60 21-70 21-70 1.1e-20 2e-16
P38324 GIY-YIG 52.5 13-94 13-94 2.4e-18 4.6e-14
P53824 SOR_SNZ 355 3-211 3-211 1.5e-110 1.4e-106
P38858 Glucosamine_iso 221.5 8-234 8-234 6.9e-70 1.3e-65
P53315 Glucosamine_iso 197.4 8-241 8-241 1.6e-62 3.1e-58
P53327 DEAD 90 289-475 289-475 4e-29 1.5e-25
P53327 Helicase_C 29.7 518-673 518-673 1.8e-10 7e-07
P53327 Sec63 277.9 795-940,995-1099 795-940,995-1099 1.8e-86 7e-83
P53327 DEAD 74.8 1141-1312 1141-1312 2e-24 7.5e-21
P53327 Helicase_C 33.9 1357-1509 1357-1509 9.2e-12 3.5e-08
P53327 Sec63 131.5 1627-1778,1857-1959 1627-1778,1857-1959 8.2e-42 3.1e-38
P34111 B-block_TFIIIC 54.7 107-175 107-175 4.8e-19 9.2e-15
Q05506 Arg_tRNA_synt_N 39.9 33-114 33-114 7.7e-14 4.9e-10
Q05506 tRNA-synt_1d 411 123-475 123-475 6e-127 3.8e-123
Q05506 DALR_1 101 489-607 489-607 7.6e-33 4.8e-29
Q06078 ANAPC4_WD40 21.3 213-304 213-304 5.6e-08 0.00027
Q06078 WD40 29.7 574-613 574-613 1.7e-10 8.1e-07
Q06078 Utp21 237.1 714-937 714-937 3.9e-74 1.8e-70
P38256 4HBT_2 32.4 72-204 72-204 6.1e-12 1.2e-07
Q03935 bZIP_1 46.9 219-283 219-283 1.2e-16 2.3e-12
P0C2J7 rve 54 620-724 620-724 1.8e-18 1.8e-14
P0C2J7 RVT_2 113.6 1310-1545 1310-1545 1.2e-36 1.1e-32
P32331 Mito_carr 71.9 21-111 21-111 1.7e-24 3.3e-20
P32331 Mito_carr 53.8 116-209 116-209 7.4e-19 1.4e-14
P32331 Mito_carr 74.2 215-307 215-307 3.3e-25 6.3e-21
P0CX63 TYA 670.4 17-396 17-396 1.7e-205 8.1e-202
P0CX63 rve 39.5 657-761 657-761 1.1e-13 5.5e-10
P0CX63 RVT_2 101.6 1285-1514 1285-1514 1.1e-32 5.4e-29
P32843 RRM_1 35.5 200-266 200-266 7.1e-13 6.8e-09
P32843 RNA12 600.1 364-814 364-814 2.6e-184 2.5e-180
Q2V2P4 DUF1748 101.9 4-72 4-72 7.3e-34 1.4e-29
Q03482 CYSTM 33.4 32-73 32-73 2.3e-12 4.5e-08
A0A0B7P3V8 rve 54.8 620-724 620-724 5e-19 9.5e-15
P38064 Ribosomal_L16 128.8 43-179 43-179 7.1e-42 1.4e-37
Q03441 DUF155 189.4 205-377 205-377 3.2e-60 6.1e-56
P32349 HTH_9 73.9 47-109 47-109 9.2e-25 8.8e-21
P32349 RNA_pol_Rpc82 247.8 189-487 189-487 1.6e-77 1.5e-73
P22139 RNA_pol_N 99.4 2-60 2-60 5.5e-33 1.1e-28
P40422 DNA_RNApol_7kD 58.8 29-60 29-60 1.7e-20 3.2e-16
P46974 Fungal_trans 35.4 795-916 795-916 3.1e-13 6e-09
P07560 Ras 213 22-182 22-182 6e-67 1.9e-63
O94742 DSS1_SEM1 73.3 21-83 21-83 6.7e-25 1.3e-20
Q04491 WD40 24.5 43-83 43-83 3.8e-09 3.7e-05
Q04491 WD40 19.2 194-235 194-235 1.8e-07 0.0017
P25365 WD40 13.7 295-330 295-330 9.7e-06 0.093
P36124 PHD 37.9 119-166 119-166 1.3e-13 1.2e-09
P38890 SET 55.6 124-169,264-403 124-169,264-403 4.5e-19 8.7e-15
P40090 Cohesin_load 317 7-624 7-624 1.3e-98 2.5e-94
P17122 Spo16 177.9 22-196 22-196 7e-57 1.3e-52
P31109 Synaptobrevin 101.2 25-113 25-113 1.1e-33 2.1e-29
Q06160 GIT_SHD 23.4 89-117 89-117 1.9e-09 3.6e-05
P38717 BAR_3 31.9 18-220 18-220 1.6e-11 1e-07
P38717 PH 48.4 310-423 310-423 1.7e-16 1.1e-12
P38717 VASt 73.2 774-946 774-946 5.2e-24 3.3e-20
P53148 Spc7 131.3 450-645 450-645 3e-42 2.9e-38
P24276 OB_Dis3 81.3 581-657 581-657 8.5e-27 4.1e-23
P24276 RNB 212.7 689-1016 689-1016 1.8e-66 8.5e-63
P24276 Dis3l2_C_term 77.8 1064-1151 1064-1151 1.4e-25 6.7e-22
P29340 UQ_con 129.5 21-174 21-174 3.8e-42 7.2e-38
P53228 TAL_FSA 323.2 26-329 26-329 8.3e-101 1.6e-96
P38756 ThiF 156.6 55-212,273-341 55-212,273-341 2.9e-50 5.6e-46
Q12030 TFIID_30kDa 88.2 86-135 86-135 1.4e-29 2.7e-25
P07236 tRNA-synt_2b 171.4 114-222,268-337 114-222,268-337 2e-54 1.9e-50
P07236 HGTP_anticodon 64.6 349-457 349-457 7.8e-22 7.5e-18
P32318 Thi4 383.6 49-306 49-306 7e-119 2.7e-115
P38292 Pex24p 232.7 24-408 24-408 3.5e-73 6.8e-69
Q12746 FAD_binding_6 106.5 74-172 74-172 7.7e-35 7.4e-31
Q12746 NAD_binding_1 88.1 182-289 182-289 6.4e-29 6.1e-25
P33297 Prot_ATP_ID_OB 59.9 79-160 79-160 4.9e-20 1.9e-16
P33297 AAA 142.2 218-351 218-351 3.4e-45 1.3e-41
P33297 AAA_lid_3 34.1 373-417 373-417 4.9e-12 1.9e-08
P25451 Proteasome 139.2 7-190 7-190 6.2e-45 1.2e-40
P04161 Formyl_trans_N 214.7 2-205 2-205 4.5e-68 8.6e-64
P25648 Med12 68.5 113-175 113-175 2.5e-23 4.8e-19
O74700 zf-Tim10_DDP 72.2 13-76 13-76 1.1e-24 2e-20
P53916 DSPc 34.1 147-242 147-242 1.1e-12 2.1e-08
P36096 zf-rbx1 34.8 697-752 697-752 4e-12 1.5e-08
Q08747 DEK_C 35 3-55 3-55 1.2e-12 1.1e-08
Q08747 SWIB 98.3 122-193 122-193 1.9e-32 1.8e-28
P39944 Rhodanese 34.8 148-277 148-277 3.2e-12 2e-08
P39944 UCH 225.7 446-625,680-801 446-625,680-801 1.3e-70 8.5e-67
Q08831 SAM_2 33.7 448-510 448-510 1.7e-12 3.2e-08
Q12215 WSC 40.4 42-122 42-122 1.4e-14 2.7e-10
P25606 Sortilin-Vps10 138.5 1-266 1-266 3.1e-44 3e-40
P34248 Peptidase_A22B 353.5 145-225,260-261,302-510 145-225,302-510 5e-110 9.7e-106
P47014 Zn_dep_PLPC 88.3 30-234 30-234 3.3e-29 6.3e-25
Q06170 DUF4112 109 61-166 61-166 7.4e-36 1.4e-31
Q06251 PSP1 143.2 472-565 472-565 1.3e-46 2.4e-42
P0CX14 Sir1 54.3 35-153 35-153 2.9e-18 1.9e-14
P0CX14 DEAD 28.1 853-1027 853-1027 2.5e-10 1.6e-06
P0CX14 Helicase_C 47 1092-1200 1092-1200 4.4e-16 2.8e-12
P33751 Flavoprotein 76.3 55-156,187-226 55-156,187-226 1.2e-25 2.3e-21
P35056 TPR_16 22.9 316-380 316-380 5.3e-08 0.0001
P35056 TPR_1 28 492-524 492-524 7.1e-10 1.4e-06
P32452 PDT 201.9 8-227 8-227 4e-64 7.7e-60
Q12144 TMEM33_Pom33 49.5 9-268 9-268 1.9e-17 3.7e-13
P46971 PMT 295.6 57-305 57-305 4.8e-92 3e-88
P46971 MIR 76.6 341-516 341-516 3.4e-25 2.2e-21
P46971 PMT_4TMC 213.4 541-756 541-756 3.8e-67 2.5e-63
P38230 ADH_N 35.1 35-110 35-110 1.6e-12 1e-08
P38230 ADH_zinc_N 90.3 160-291 160-291 1.6e-29 1.1e-25
P22289 UCR_UQCRX_QCR9 94 4-56 4-56 2e-31 3.9e-27
P07280 Ribosomal_S19e 177.8 5-142 5-142 4.5e-57 8.6e-53
P52871 Sec61_beta 59.3 42-82 42-82 1.5e-20 2.9e-16
P32573 adh_short_C2 168.6 31-269 31-269 2.8e-53 1.8e-49
Q12368 zf-met 28.5 80-104 80-104 1.6e-10 1.5e-06
Q12104 PIN_4 107.8 132-275 132-275 2.7e-35 5.2e-31
Q07478 DEAD 120 86-257 86-257 1.5e-38 9.5e-35
Q07478 Helicase_C 87.6 292-401 292-401 1.1e-28 7.3e-25
Q03175 Prenyltransf 222.2 73-296 73-296 3.2e-70 6.2e-66
Q08919 TFR_dimer 80.7 642-770 642-770 4.8e-27 9.2e-23
P53146 Use1 48.4 16-242 16-242 5.3e-17 1e-12
P32912 PX 53.4 28-121 28-121 1.7e-18 3.3e-14
P38150 AMP_deaminase 284.1 181-797 181-797 1.1e-88 2.2e-84
Q04471 SRAP 217.7 1-240 1-240 7.4e-69 1.4e-64
P38799 GPHR_N 52 183-262 183-262 6.2e-18 5.9e-14
P38799 ABA_GPCR 197.8 308-431,468-542 308-431,468-542 1.4e-62 1.3e-58
P33324 CRAL_TRIO_N 33.9 27-74 27-74 4.4e-12 2.8e-08
P33324 CRAL_TRIO 116.6 106-268 106-268 1.5e-37 9.4e-34
Q04835 EamA 61.7 68-215 68-215 4.3e-21 8.3e-17
Q04835 EamA 43.3 242-379 242-379 2.2e-15 4.1e-11
P40093 UPF0160 428.5 16-337 16-337 1.2e-132 2.3e-128
Q03648 N2227 273.5 192-457 192-457 9.1e-86 1.8e-81
P54007 ADH_zinc_N 52.5 186-304 186-304 2.7e-18 5.1e-14
P39972 Sir1 35.6 2-89 2-89 5.9e-13 1.1e-08
P0CX75 TYA 775.5 17-400 17-400 4.7e-238 9e-234
P0CX71 TYA 775.5 17-400 17-400 4.7e-238 9e-234
Q04922 F-box 22.1 17-59 17-59 5.6e-09 0.00011
P32435 MF_alpha_N 98.6 1-81 1-81 1.6e-32 1.5e-28
P32435 MF_alpha 26.1 87-99 87-99 7.9e-10 7.6e-06
P32435 MF_alpha 25.1 108-120 108-120 1.6e-09 1.5e-05
P53157 MPC 138.5 13-125 13-125 4.7e-45 9.1e-41
P48564 Pet20 106 110-243 110-243 1.3e-34 2.4e-30
P53128 MTHFR 420.4 6-298 6-298 1.9e-130 3.6e-126
P17967 Thioredoxin 106.2 33-137 33-137 2e-34 7.8e-31
P17967 Thioredoxin_6 61.4 166-341 166-341 2.8e-20 1.1e-16
P17967 Thioredoxin 91 377-482 377-482 1.1e-29 4.4e-26
P38848 Pex24p 259.3 201-288,322-569 201-288,322-569 2.9e-81 5.5e-77
P12868 VPS11_C 49 976-1023 976-1023 2.9e-17 5.5e-13
P16467 TPP_enzyme_N 111.1 4-180 4-180 7.4e-36 4.7e-32
P16467 TPP_enzyme_M 99.6 201-337 201-337 1.9e-32 1.2e-28
P16467 TPP_enzyme_C 53.8 387-537 387-537 3.1e-18 2e-14
P38244 Peptidase_M28 137.4 136-325 136-325 2.6e-44 5e-40
P39684 RRM_1 70.6 93-163 93-163 1.2e-23 7.5e-20
P39684 RRM_1 31.8 181-248 181-248 1.5e-11 9.8e-08
P39684 RRM_1 62.4 305-373 305-373 4.4e-21 2.8e-17
P25502 Zn_clus 39.8 32-69 32-69 4e-14 3.8e-10
P25502 Fungal_trans 67.2 347-622 347-622 1.3e-22 1.2e-18
P47148 CMD 27.6 200-282 200-282 1.3e-10 2.5e-06
P32864 GDI 155.3 43-447 43-447 9.9e-50 1.9e-45
P38206 Rft-1 738.2 18-565 18-565 2.7e-226 5.2e-222
P53879 Ras 145 5-47,78-219 5-47,78-219 2.4e-46 1.6e-42
P38127 Mito_carr 96.8 48-168 48-168 2.8e-32 5.4e-28
P38127 Mito_carr 79.3 171-267 171-267 8.6e-27 1.7e-22
P38127 Mito_carr 74.3 284-377 284-377 3.1e-25 5.9e-21
P29453 Ribosomal_L7Ae 81.9 117-212 117-212 1.1e-27 2.1e-23
P35718 SHS2_Rpb7-N 47.7 8-64 8-64 1.6e-16 1.5e-12
P35718 RNA_pol_Rbc25 168.9 83-211 83-211 5.8e-54 5.6e-50
P12383 Zn_clus 38.6 44-81 44-81 9.4e-14 9e-10
P12383 Fungal_trans 231.7 308-389,434-653 308-389,434-653 8.5e-73 8.2e-69
P49704 Nop 223.4 101-343 101-343 2.8e-70 2.7e-66
P49704 Prp31_C 91.1 350-481 350-481 1.1e-29 1e-25
P80210 Adenylsucc_synt 614.3 4-428 4-428 5e-189 9.7e-185
P40071 EMP70 485.9 78-663 78-663 8.2e-150 1.6e-145
P16649 Tup_N 98.6 11-88 11-88 4.1e-32 2e-28
P16649 WD40 17.2 336-371 336-371 1.5e-06 0.0073
P16649 WD40 31.1 432-471 432-471 6.4e-11 3.1e-07
P16649 WD40 35.7 475-513 475-513 2.3e-12 1.1e-08
P16649 WD40 18.9 517-555 517-555 4.4e-07 0.0021
P16649 WD40 27.2 568-604 568-604 1.1e-09 5.1e-06
P16649 WD40 22.6 620-658 620-658 3.2e-08 0.00015
P16649 WD40 17.3 662-706 662-706 1.5e-06 0.0071
Q08282 LCM 133.7 6-243 6-243 2e-42 7.5e-39
Q08282 Kelch_4 39.8 439-488 439-488 9.1e-14 3.5e-10
P53177 TYW3 221 9-227 9-227 6.2e-70 1.2e-65
P40554 Urm1 118.2 3-99 3-99 8.4e-39 1.6e-34
Q04500 Utp14 678.8 195-897 195-897 6.3e-208 1.2e-203
P16140 ATP-synt_ab_N 58.4 31-97 31-97 8.2e-20 7.9e-16
P16140 ATP-synt_ab 213.7 154-380 154-380 2.6e-67 2.5e-63
Q12235 MFS_1 66.7 55-432 55-432 9.3e-23 1.8e-18
O74302 TYA 777.6 17-400 17-400 1.1e-238 2.1e-234
Q07793 TYA 773 17-400 17-400 8.3e-237 5.3e-233
Q07793 rve 46.8 661-765 661-765 4.7e-16 3e-12
Q07793 RVT_2 102.1 1270-1501 1270-1501 5.9e-33 3.8e-29
Q12490 TYA 741.7 17-400 17-400 2.7e-227 1.7e-223
Q12490 rve 46.1 661-765 661-765 7.5e-16 4.8e-12
Q12490 RVT_2 100.9 1267-1501 1267-1501 1.3e-32 8.6e-29
Q04304 NAD_binding_10 161.8 10-203 10-203 6.2e-51 1.7e-47
Q04670 TYA 774 17-400 17-400 4.1e-237 2.6e-233
Q04670 rve 46.1 661-765 661-765 7.5e-16 4.8e-12
Q04670 RVT_2 101.9 1271-1501 1271-1501 6.9e-33 4.4e-29
P53981 HAD 90.6 6-188 6-188 1.9e-29 1.8e-25
P38722 Sir1 30.3 2-89 2-89 2.5e-11 4.8e-07
P0C2I5 TYA 770.7 17-400 17-400 4.1e-236 2.6e-232
P0C2I5 rve 46.6 661-765 661-765 5.2e-16 3.4e-12
P0C2I5 RVT_2 103 1270-1501 1270-1501 3.2e-33 2.1e-29
Q12407 Sugar_tr 131.2 123-563 123-563 5.4e-42 5.2e-38
Q05948 Svf1 136.6 65-261 65-261 8.3e-44 7.9e-40
Q05948 Svf1_C 136.3 263-407 263-407 9.3e-44 8.9e-40
P0C0V2 DUF468 192.2 16-99 16-99 8.8e-62 1.7e-57
O13585 DIL 31 556-624 556-624 1.3e-11 2.4e-07
Q12204 DDHD 81.7 519-625 519-625 4.6e-27 8.9e-23
P53057 Asp 27.2 66-145 66-145 1.4e-10 2.6e-06
P53303 zf-ZPR1 197.8 52-210 52-210 5.6e-63 1.1e-58
P53303 zf-ZPR1 193.8 293-452 293-452 9.7e-62 1.9e-57
P53937 Ribosomal_S13 58.6 4-110 4-110 4.4e-20 8.5e-16
Q12466 C2 66 386-488 386-488 1.7e-22 3.3e-18
Q12466 C2 16.6 521-626 521-626 4.1e-07 0.0079
Q12466 C2 68.9 658-759 658-759 2.1e-23 4e-19
Q12466 C2 74.4 992-1096 992-1096 4.1e-25 7.8e-21
Q03761 TFIID_20kDa 112.8 416-488 416-488 4.3e-37 8.2e-33
Q03533 Pkinase 161.1 39-351 39-351 3.7e-51 3.5e-47
P47079 Cpn60_TCP1 453.3 38-549 38-549 5.3e-140 1e-135
P32774 TFIIA_gamma_N 76.7 6-52 6-52 1.1e-25 1.1e-21
P32774 TFIIA_gamma_C 82.7 63-118 63-118 1.7e-27 1.6e-23
P07213 TPR_1 27.8 99-132 99-132 9.5e-10 1.5e-06
P07213 TPR_8 19 397-430 397-430 7.4e-07 0.0012
Q3E764 TMA7 88.3 3-64 3-64 2.3e-29 4.5e-25
P36164 SNARE_assoc 52.5 137-273 137-273 3.4e-18 6.5e-14
P52490 UQ_con 163.8 7-144 7-144 9.6e-53 1.8e-48
P23642 Anp1 398.9 171-250,296-480 171-250,296-480 5.3e-124 1e-119
Q02725 VTC 334.2 204-246,290-536 204-246,290-536 9.9e-104 6.3e-100
Q02725 DUF202 42.8 698-765 698-765 8.6e-15 5.5e-11
Q12266 TYA 746.5 17-400 17-400 3.1e-229 5.9e-225
Q06204 Hexokinase_1 79.2 6-206 6-206 4e-26 3.9e-22
Q06204 Hexokinase_2 51.9 212-425 212-425 7e-18 6.7e-14
Q04585 FGGY_N 76.1 39-309 39-309 3.4e-25 3.2e-21
Q04585 FGGY_C 178.1 339-551 339-551 1.9e-56 1.8e-52
P40104 Sir1 34.7 2-89 2-89 1.1e-12 2.2e-08
Q06839 PXB 128.4 5-149 5-149 2.6e-41 1.6e-37
Q06839 PX 38.1 317-362,465-501 317-362,465-501 3.3e-13 2.1e-09
Q06839 DUF3818 408.8 563-917 563-917 2.7e-126 1.7e-122
P42844 zf-DNL 101 70-133 70-133 1.4e-33 2.7e-29
Q12458 Aldo_ket_red 155.5 22-293 22-293 8.7e-50 1.7e-45
P53170 BCDHK_Adom3 94.5 79-244 79-244 3.4e-31 6.4e-27
P04803 tRNA-synt_1b 294.6 29-335 29-335 4.3e-92 8.3e-88
Q08231 PCI 81.6 297-428 297-428 2.9e-27 5.6e-23
Q12256 MFS_1 91 98-378,419-505 98-378,419-505 3.9e-30 7.5e-26
Q96VH2 eRF1_3 57.4 1-82 1-82 1e-19 1.9e-15
P47118 Yae1_N 51.8 34-72 34-72 2.6e-18 5e-14
P38705 tRNA-synt_2b 85.6 239-422 239-422 2.2e-28 4.1e-24
Q06836 Sec7 92.8 417-622 417-622 1.1e-30 2.2e-26
P53220 TIM21 203.1 67-219 67-219 9.7e-65 1.9e-60
Q03280 DUF908 194.5 92-387 92-387 7.4e-61 3.6e-57
Q03280 DUF913 174 446-744 446-744 9.8e-55 4.7e-51
Q03280 UBM 31.8 2325-2359 2325-2359 1.5e-11 7e-08
Q03280 UBM 15.9 2367-2400 2367-2400 1.4e-06 0.0067
Q03280 HECT 300.8 2962-3268 2962-3268 2.7e-93 1.3e-89
P38152 Mito_carr 66.9 8-102 8-102 6.2e-23 1.2e-18
P38152 Mito_carr 59.8 104-204 104-204 1e-20 1.9e-16
P38152 Mito_carr 75.6 210-299 210-299 1.2e-25 2.3e-21
Q07468 Vps39_1 125.3 603-715 603-715 1.3e-40 1.3e-36
Q07468 Vps39_2 45.2 905-1019 905-1019 1.2e-15 1.1e-11
P39904 Vps52 720.5 47-607 47-607 6.3e-221 1.2e-216
P54787 DUF5601 63.1 80-146 80-146 3.4e-21 2.2e-17
P54787 VPS9 103.8 206-308 206-308 8.3e-34 5.3e-30
P54787 CUE 43.2 409-450 409-450 3.7e-15 2.4e-11
P25657 Sortilin_C 87.8 4-131 4-131 5.5e-29 1e-24
P25384 TYA 674.6 17-396 17-396 8.7e-207 4.2e-203
P25384 rve 39.5 657-761 657-761 1.1e-13 5.5e-10
P25384 RVT_2 101.6 1285-1514 1285-1514 1.1e-32 5.4e-29
Q12322 RF-1 66.7 59-201 59-201 9e-23 1.7e-18
Q12288 GATase 50.7 33-216 33-216 9.6e-18 1.8e-13
P40102 DUF5341 127.9 1-136 1-136 2.2e-41 4.2e-37
P36077 ParBc 91 11-126 11-126 2.3e-30 4.4e-26
P13393 TBP 111.6 64-146 64-146 6.8e-37 1.3e-32
P13393 TBP 111.8 154-237 154-237 6.1e-37 1.2e-32
Q12218 SRP1_TIP1 103.2 13-116 13-116 3.5e-34 6.6e-30
P32802 EMP70 656.6 72-656 72-656 1.5e-201 2.8e-197
P40414 Tropomyosin_1 161.6 7-149 7-149 7e-52 1.3e-47
P40478 Porin_3 165 4-274 4-274 1.3e-52 2.5e-48
P32563 V_ATPase_I 1039.7 31-822 31-822 0 0
Q12193 TYA 767.6 17-400 17-400 3.6e-235 2.3e-231
Q12193 rve 46.1 661-765 661-765 7.5e-16 4.8e-12
Q12193 RVT_2 100.9 1268-1504 1268-1504 1.4e-32 9.1e-29
P40017 Carn_acyltransf 352.8 26-197,251-355,389-433,466-727 26-197,251-355,389-433,466-727 1.6e-109 3.1e-105
P46992 DUF2403 82.5 26-93 26-93 2.4e-27 2.3e-23
P46992 DUF2401 279.2 105-339 105-339 2.6e-87 2.5e-83
Q03102 ADH_N_2 78.3 5-123 5-123 4.2e-26 4e-22
Q03102 ADH_zinc_N 55.6 177-315 177-315 5.7e-19 5.5e-15
P53929 His_Phos_1 67.1 6-207 6-207 8.6e-23 1.7e-18
Q04214 TYA 742.8 17-400 17-400 1.2e-227 7.9e-224
Q04214 rve 46.1 661-765 661-765 7.5e-16 4.8e-12
Q04214 RVT_2 100.8 1267-1501 1267-1501 1.4e-32 9.2e-29
P40543 AMPK1_CBM 28.4 10-99 10-99 7.5e-11 1.4e-06
Q08816 TFB6 96.4 164-185,217-324 164-185,217-324 8.6e-32 1.6e-27
P0C2I8 TYA 775.5 17-400 17-400 4.7e-238 9e-234
Q07950 Abhydro_lipase 54.9 150-212 150-212 5.3e-19 5.1e-15
Q03983 PXA 46.5 96-246 96-246 2.2e-16 4.2e-12
Q08993 Sir1 60.6 35-153 35-153 1.1e-20 2.1e-16
